location_name,lat,lon
"Bangkok, Thailand",13.7524938,100.4935089
"Pinewood Studios, Pinewood Road, Iver Heath, Iver, Buckinghamshire, England, UK",51.5478149,-0.5315999
Thailand,14.8971921,100.83273
"Siem Reap, Cambodia",13.3617562,103.8590321
"Venice Beach, Venice, Los Angeles, California, USA",33.97996005,-118.4687710293081
"London, England, UK",51.5073359,-0.12765
"Warner Bros. Studios Leavesden, Warner Drive, Leavesden, Watford, Hertfordshire, England, UK",51.8836882,0.5346038
"Long Beach, California, USA",33.7690164,-118.191604
"England, UK",52.5310214,-1.2649062
"Venice Beach, California, USA",33.97996005,-118.4687710293081
"1725 Main St, Santa Monica, California, USA",34.010858,-118.490391
"Bank of America Plaza - 333 S Hope Street, Downtown, Los Angeles, California, USA",34.0564764,-118.250246
"Venice Recreation Center - 1800 Ocean Front Walk, Venice, Los Angeles, California, USA",33.985813,-118.472843
"Tongva Park - 1615 Ocean Ave, Santa Monica, California, USA",34.01025390625,-118.49334328124999
"100 Wilshire Blvd, Santa Monica, California, USA",34.01684695,-118.50060128079218
"Los Angeles County, California, USA",34.3155072,-118.209681
"Southern California, California, USA",34.0218833,-118.28586662125
"The Bridge, Spitzkoppe, Namibia",-21.8462106,15.1826066
"Phuket, Thailand",7.8847901,98.3891503
"Los Angeles, California, USA",34.0536909,-118.242766
"Hong Kong, China",22.2793278,114.1628131
"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",34.148175,-118.338482
China,35.000074,104.999927
"Helsetkopen, Møre og Romsdal, Norway",62.06,6.971944
"Hellesylt, Norway",62.085337,6.8696967
"Grand Central, Birmingham, West Midlands, England, UK",52.477830999999995,-1.8980701011575878
"Rome, Lazio, Italy",41.8933203,12.4829321
"Stoney Middleton, Derbyshire, England, UK",53.2756112,-1.6595362
"Åndalsnes, Rauma, Møre og Romsdal, Norway",62.5681692,7.6867621
"Venice, Veneto, Italy",45.4371908,12.3345898
"Ponte dei Conzafelzi, 30100 Venice, Veneto, Italy",45.4383358,12.3421131
"Levisham, North Yorkshire, England, UK",54.3041093,-0.7210256
"Trollveggen, Møre og Romsdal, Norway",62.4826699,7.7226498
"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
"Birmingham, West Midlands, England, UK",52.4796992,-1.9026911
"Via di S. Maria Maggiore, Rome, Lazio, Italy",41.8973255,12.4957563
"Via dei Funari, Rome, Lazio, Italy",41.893496,12.479073
"Via Nazionale, Rome, Lazio, Italy",41.900078,12.4922571
"Via dei Serpenti, Rome, Lazio, Italy",41.8980366,12.4893047
"Via del Traforo, Rome, Lazio, Italy",41.9020905,12.4865373
"The Bullring, Birmingham, UK",52.4779765,-1.8936259
"Leighton Buzzard, Bedfordshire, UK",51.9165794,-0.6620551
"ExCel London, 1 Western Gateway, Royal Victoria Dock, London, Greater London, England, UK",51.5077231,0.0288119
"Buttermere, Cockermouth CA, UK",54.6607181,-3.3452574
"Dubai, United Arab Emirates",25.2653471,55.2924914
"Budapest, Hungary",47.4978918,19.0401609
"Nürburgring Nordschleife, Nürburg, Rhineland-Palatinate, Germany",50.33333,6.95
United Arab Emirates,24.0002488,53.9994829
Germany,51.1638175,10.4478313
Hungary,47.1817585,19.5060937
Greece,38.9953683,21.9877132
"Thessaloniki, Greece",40.6403167,22.9352716
"Sofia, Bulgaria",42.6977028,23.3217359
"Toronto, Ontario, Canada",43.6534817,-79.3839347
"Montreal, Quebec, Canada",45.5031824,-73.5698065
"Paris, France",48.8534951,2.3483915
"Rome, Italy",41.8933203,12.4829321
"Sydney, Australia",-33.8698439,151.2082848
"Atlanta, Georgia, USA",33.7489924,-84.3902644
Puerto Rico,18.2247706,-66.4858295
"Decatur, Georgia, USA",33.7737582,-84.296069
"Dunwoody, Georgia, USA",33.9463786,-84.3342686
"New York City, New York, USA",40.7830439,-73.9527658
"Sardinia, Italy",40.06150285,9.09758935360066
"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",51.5524651,-0.5321619024569935
"Alnwick Castle, Alnwick, Northumberland, England, UK",55.41546099999999,-1.7065170268123597
"Gloucester Cathedral, 12 College Green, Gloucester, Gloucestershire, England, UK",51.867796150000004,-2.248465618011078
"Australia House, Strand, Westminster, Greater London, England, UK",51.5128785,-0.11559062893054399
"Bangkok, Thailand",13.7524938,100.4935089
"Pinewood Studios, Pinewood Road, Iver Heath, Iver, Buckinghamshire, England, UK",51.5478149,-0.5315999
Thailand,14.8971921,100.83273
"Siem Reap, Cambodia",13.3617562,103.8590321
"Venice Beach, Venice, Los Angeles, California, USA",33.97996005,-118.4687710293081
"London, England, UK",51.5073359,-0.12765
"Warner Bros. Studios Leavesden, Warner Drive, Leavesden, Watford, Hertfordshire, England, UK",51.8836882,0.5346038
"Long Beach, California, USA",33.7690164,-118.191604
"England, UK",52.5310214,-1.2649062
"Venice Beach, California, USA",33.97996005,-118.4687710293081
"1725 Main St, Santa Monica, California, USA",34.010858,-118.490391
"Bank of America Plaza - 333 S Hope Street, Downtown, Los Angeles, California, USA",34.0564764,-118.250246
"Venice Recreation Center - 1800 Ocean Front Walk, Venice, Los Angeles, California, USA",33.985813,-118.472843
"Tongva Park - 1615 Ocean Ave, Santa Monica, California, USA",34.01025390625,-118.49334328124999
"100 Wilshire Blvd, Santa Monica, California, USA",34.01684695,-118.50060128079218
"Los Angeles County, California, USA",34.3155072,-118.209681
"Southern California, California, USA",34.0218833,-118.28586662125
"The Bridge, Spitzkoppe, Namibia",-21.8462106,15.1826066
"Phuket, Thailand",7.8847901,98.3891503
"Los Angeles, California, USA",34.0536909,-118.242766
"Hong Kong, China",22.2793278,114.1628131
"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",34.148175,-118.338482
China,35.000074,104.999927
"Helsetkopen, Møre og Romsdal, Norway",62.06,6.971944
"Hellesylt, Norway",62.085337,6.8696967
"Grand Central, Birmingham, West Midlands, England, UK",52.477830999999995,-1.8980701011575878
"Rome, Lazio, Italy",41.8933203,12.4829321
"Stoney Middleton, Derbyshire, England, UK",53.2756112,-1.6595362
"Åndalsnes, Rauma, Møre og Romsdal, Norway",62.5681692,7.6867621
"Venice, Veneto, Italy",45.4371908,12.3345898
"Ponte dei Conzafelzi, 30100 Venice, Veneto, Italy",45.4383358,12.3421131
"Levisham, North Yorkshire, England, UK",54.3041093,-0.7210256
"Trollveggen, Møre og Romsdal, Norway",62.4826699,7.7226498
"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
"Birmingham, West Midlands, England, UK",52.4796992,-1.9026911
"Via di S. Maria Maggiore, Rome, Lazio, Italy",41.8973255,12.4957563
"Via dei Funari, Rome, Lazio, Italy",41.893496,12.479073
"Via Nazionale, Rome, Lazio, Italy",41.900078,12.4922571
"Via dei Serpenti, Rome, Lazio, Italy",41.8980366,12.4893047
"Via del Traforo, Rome, Lazio, Italy",41.9020905,12.4865373
"The Bullring, Birmingham, UK",52.4779765,-1.8936259
"Leighton Buzzard, Bedfordshire, UK",51.9165794,-0.6620551
"ExCel London, 1 Western Gateway, Royal Victoria Dock, London, Greater London, England, UK",51.5077231,0.0288119
"Buttermere, Cockermouth CA, UK",54.6607181,-3.3452574
"Dubai, United Arab Emirates",25.2653471,55.2924914
"Budapest, Hungary",47.4978918,19.0401609
"Nürburgring Nordschleife, Nürburg, Rhineland-Palatinate, Germany",50.33333,6.95
United Arab Emirates,24.0002488,53.9994829
Germany,51.1638175,10.4478313
Hungary,47.1817585,19.5060937
Greece,38.9953683,21.9877132
"Thessaloniki, Greece",40.6403167,22.9352716
"Sofia, Bulgaria",42.6977028,23.3217359
"Toronto, Ontario, Canada",43.6534817,-79.3839347
"Montreal, Quebec, Canada",45.5031824,-73.5698065
"Paris, France",48.8534951,2.3483915
"Rome, Italy",41.8933203,12.4829321
"Sydney, Australia",-33.8698439,151.2082848
"Atlanta, Georgia, USA",33.7489924,-84.3902644
